Metrica,Media,Mediana,DesviacionEstandar,Minimo,Maximo
TiempoSegundos,60.51024840333072,59.26078654998855,12.153048946643665,46.66848970000865,110.80524419998983
TamanoPareto,33.5,34.0,1.717054414417017,30.0,37.0
DiversidadRutas,0.9257990370475739,0.9272683536438941,0.007801159279519072,0.9074515029332473,0.9362766296229038
MejorLatencia,32.59509934566861,32.595099345668615,7.226896453227138e-15,32.595099345668615,32.595099345668615
MejorPerdida,0.0018911284788719618,0.0018911284788719618,0.0,0.0018911284788719618,0.0018911284788719618
MejorJitter,2.7995798723208583,2.799579872320858,4.516810283266961e-16,2.799579872320858,2.799579872320858
MejorAnchoBanda,508.2515292392346,508.4479901465887,1.0760607062580831,502.5541629259638,508.4479901465887
GapLatencia,0.0,0.0,0.0,0.0,0.0
GapPerdida,3.2678649029990045e-12,3.267864902999004e-12,4.108015021544781e-28,3.267864902999004e-12,3.267864902999004e-12
GapJitter,0.0,0.0,0.0,0.0,0.0
GapAnchoBanda,0.038639332077509705,0.0,0.21163633785785013,0.0,1.1591799623252912
