Seed,TiempoSegundos,TamanoPareto,PoblacionUnica,DiversidadRutas,MejorLatencia,MejorPerdida,MejorJitter,MejorAnchoBanda,GapLatencia,GapPerdida,GapJitter,GapAnchoBanda,OptimoLatencia,OptimoPerdida,OptimoJitter,OptimoAnchoBanda,OptimosAlcanzados,TodosOptimos
1,48.501223400002345,32,30,0.9210274926440026,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
2,46.66848970000865,31,30,0.9271133847556078,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
3,47.25170779999462,35,30,0.9292739884665632,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
4,50.52006039998378,34,30,0.9248559362656725,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
5,59.96867609999026,32,30,0.9300157983778673,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
6,110.80524419998983,33,30,0.9362766296229038,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
7,93.24074800001108,34,30,0.9339679497854473,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
8,59.636739299981855,35,30,0.9294197389639323,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
9,59.315518099989276,34,30,0.9262587699656667,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
10,60.45826009998564,35,30,0.9199483466724846,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
11,58.940896799991606,33,30,0.934624440677606,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
12,59.81464960001176,34,30,0.9323394817531832,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
13,57.110201700008474,31,30,0.9074515029332473,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
14,60.63426970000728,34,30,0.9289300568712333,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
15,59.72959219999029,37,30,0.9314887878590568,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
16,59.60130969999591,30,30,0.9267344737375163,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
17,59.412284099991666,35,30,0.9278545574237202,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
18,58.89877689999412,34,30,0.9274233225321806,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
19,59.20605499998783,32,30,0.9233642825884205,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
20,59.140137600013986,34,30,0.9249168228147624,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
21,58.20915189999505,35,30,0.9296449628677198,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
22,57.79901889999746,31,30,0.9109880363656921,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
23,58.39595350000309,35,30,0.9238404903262916,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
24,59.7390149999992,35,30,0.9318075634454945,32.595099345668615,0.0018911284788719618,2.799579872320858,502.5541629259638,0.0,3.267864902999004e-12,0.0,1.1591799623252912,True,True,True,False,3,False
25,56.8678324999928,31,30,0.9220907470754993,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
26,59.59364300000016,33,30,0.9082129683853822,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
27,57.63707280001836,36,30,0.934515655052078,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
28,59.512430099974154,35,30,0.9217571831669195,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
29,58.53203000000212,32,30,0.9121852221852222,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
30,60.166464000009,33,30,0.9356425178458434,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
