Par,Origen,Destino,SaltosMinimos,GradoSalidaOrigen,GradoEntradaDestino,CorridasEsperadas,CorridasCompletadas,OptimoLatencia,OptimoPerdida,OptimoJitter,OptimoAnchoBanda,TiempoPromedio,ParetoPromedio,DiversidadFrentePromedio,GapLatenciaPromedio,GapPerdidaPromedio,GapJitterPromedio,GapAnchoBandaPromedio,GapLatenciaMaximo,GapPerdidaMaximo,GapJitterMaximo,GapAnchoBandaMaximo,ExitoLatenciaPct,ExitoPerdidaPct,ExitoJitterPct,ExitoAnchoBandaPct,ExitoCompletoPct,OptimosPromedio
P01,52,96,3,4,4,10,10,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,127.16178334999714,33.5,0.8949695348204815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,4.0
P02,7,59,2,29,5,10,10,28.59423312064716,0.0013826615430425626,2.3370927579475644,546.6573907570638,47.08145157001563,28.0,0.8898425361507185,0.0,0.0,0.0,0.372372450032905,0.0,0.0,0.0,3.72372450032905,100.0,100.0,100.0,90.0,90.0,3.9
P03,81,25,4,4,12,10,10,69.80889938663184,0.0032249702843278882,2.2200570917660705,385.48922109853135,35.30167156000389,44.2,0.916381705489349,0.0,0.16995618230863935,0.0,0.0,0.0,1.6995618230863934,0.0,0.0,100.0,90.0,100.0,100.0,90.0,3.9
P04,22,92,2,7,4,10,10,32.744690824397125,0.003673527410583022,3.5937157683551857,542.6819804522029,56.066117350000425,21.3,0.8659919286562747,0.0,0.0,0.0,6.547398427185259,0.0,0.0,0.0,15.042686269257228,100.0,100.0,100.0,10.0,10.0,3.1
P05,46,26,3,6,5,10,10,40.78062777922707,0.0032748105606806854,2.837479768794644,609.5852459214949,56.39521224999335,10.0,0.829673721340388,0.0,0.0,0.0,0.5317838211367627,0.0,0.0,0.0,0.5317838211367627,100.0,100.0,100.0,0.0,0.0,3.0
P06,94,63,4,4,4,10,10,68.78987762967053,0.004078870724362416,3.5043540336171812,483.22310659223547,75.7493187700049,47.8,0.9113718286388945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,4.0
