Iteracion,TamanoPareto,PoblacionUnica,DiversidadRutas,MejorLatencia,MejorPerdida,MejorJitter,MejorAnchoBanda,PromedioIntentosSinMejora
1,3,30,0.9739301349799498,32.744690824397125,0.003952456479390132,3.5937157683551857,262.7677747168452,0.5666666666666667
2,4,30,0.9688777264882659,32.744690824397125,0.003952456479390132,3.5937157683551857,408.2925096707574,1.1333333333333333
3,7,30,0.959732404984921,32.744690824397125,0.003952456479390132,3.5937157683551857,408.2925096707574,1.2
4,8,30,0.9563465956106066,32.744690824397125,0.003952456479390132,3.5937157683551857,408.2925096707574,1.6333333333333333
5,10,30,0.9509675537425946,32.744690824397125,0.003952456479390132,3.5937157683551857,408.2925096707574,1.7666666666666666
6,10,30,0.9538136481158251,32.744690824397125,0.003952456479390132,3.5937157683551857,408.2925096707574,2.033333333333333
7,10,30,0.9482593876741813,32.744690824397125,0.003952456479390132,3.5937157683551857,460.4337345765245,2.4
8,10,30,0.9496843532456017,32.744690824397125,0.003952456479390132,3.5937157683551857,460.4337345765245,2.6666666666666665
9,10,30,0.9442695433666776,32.744690824397125,0.003952456479390132,3.5937157683551857,460.4337345765245,2.2666666666666666
10,10,30,0.9412188241856319,32.744690824397125,0.003952456479390132,3.5937157683551857,460.4337345765245,2.3333333333333335
11,10,30,0.9414717288307459,32.744690824397125,0.003952456479390132,3.5937157683551857,460.4337345765245,3.066666666666667
12,10,30,0.9403155335168166,32.744690824397125,0.003952456479390132,3.5937157683551857,460.4337345765245,4.166666666666667
13,10,30,0.9434736362261535,32.744690824397125,0.003952456479390132,3.5937157683551857,460.4337345765245,4.133333333333334
14,10,30,0.9437721082049292,32.744690824397125,0.003952456479390132,3.5937157683551857,460.4337345765245,5.133333333333334
15,10,30,0.9402673404079767,32.744690824397125,0.003952456479390132,3.5937157683551857,460.4337345765245,5.766666666666667
16,12,30,0.9434850131370875,32.744690824397125,0.003673527410583022,3.5937157683551857,460.4337345765245,4.5
17,14,30,0.9471198437919137,32.744690824397125,0.003673527410583022,3.5937157683551857,482.90167187543193,3.2666666666666666
18,14,30,0.9399654539012914,32.744690824397125,0.003673527410583022,3.5937157683551857,482.90167187543193,3.966666666666667
19,14,30,0.9367738052478103,32.744690824397125,0.003673527410583022,3.5937157683551857,482.90167187543193,3.7
20,14,30,0.931444941280576,32.744690824397125,0.003673527410583022,3.5937157683551857,482.90167187543193,3.2333333333333334
21,14,30,0.9240682177761614,32.744690824397125,0.003673527410583022,3.5937157683551857,482.90167187543193,3.8333333333333335
22,14,30,0.9318221073862669,32.744690824397125,0.003673527410583022,3.5937157683551857,482.90167187543193,4.133333333333334
23,15,30,0.9312551128449952,32.744690824397125,0.003673527410583022,3.5937157683551857,482.90167187543193,4.466666666666667
24,15,30,0.9286579416133266,32.744690824397125,0.003673527410583022,3.5937157683551857,482.90167187543193,5.4
25,15,30,0.9419278082168734,32.744690824397125,0.003673527410583022,3.5937157683551857,482.90167187543193,5.5
26,15,30,0.9491991441031759,32.744690824397125,0.003673527410583022,3.5937157683551857,482.90167187543193,5.166666666666667
27,16,30,0.9482956161556059,32.744690824397125,0.003673527410583022,3.5937157683551857,482.90167187543193,4.7
28,16,30,0.9474096024350692,32.744690824397125,0.003673527410583022,3.5937157683551857,482.90167187543193,5.6
