Iteraciones,Seed,TiempoSegundos,TamanoPareto,PoblacionUnica,DiversidadRutas,MejorLatencia,MejorPerdida,MejorJitter,MejorAnchoBanda,GapLatencia,GapPerdida,GapJitter,GapAnchoBanda,OptimoLatencia,OptimoPerdida,OptimoJitter,OptimoAnchoBanda,OptimosAlcanzados,TodosOptimos
25,1,6.133927000017138,23,30,0.9275454430626846,32.595099345668615,0.0018911284788719618,2.799579872320858,444.7787074988309,0.0,3.267864902999004e-12,0.0,12.522280327905627,True,True,True,False,3,False
25,2,6.3510888000018895,20,30,0.9214887028680132,32.595099345668615,0.0018911284788719618,3.0303458827448297,437.82494266122296,0.0,3.267864902999004e-12,8.24288003730597,13.889925588063528,True,True,False,False,2,False
25,3,5.873876099998597,19,30,0.9165859286319413,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
25,4,5.857843400008278,17,30,0.9371760127201408,32.595099345668615,0.0018911284788719618,2.799579872320858,437.82494266122296,0.0,3.267864902999004e-12,0.0,13.889925588063528,True,True,True,False,3,False
25,5,5.872653200000059,20,30,0.9340532105187277,32.595099345668615,0.0018911284788719618,2.799579872320858,444.7787074988309,0.0,3.267864902999004e-12,0.0,12.522280327905627,True,True,True,False,3,False
25,6,5.991689399990719,24,30,0.9282131955264277,32.595099345668615,0.0018911284788719618,2.799579872320858,437.82494266122296,0.0,3.267864902999004e-12,0.0,13.889925588063528,True,True,True,False,3,False
25,7,6.274588299973402,22,30,0.9256508094983594,32.595099345668615,0.0018911284788719618,2.799579872320858,437.82494266122296,0.0,3.267864902999004e-12,0.0,13.889925588063528,True,True,True,False,3,False
25,8,5.563351500022691,20,30,0.9399665227326397,32.595099345668615,0.0018911284788719618,2.799579872320858,437.82494266122296,0.0,3.267864902999004e-12,0.0,13.889925588063528,True,True,True,False,3,False
25,9,6.174957800016273,21,30,0.9189215765077834,32.595099345668615,0.0018911284788719618,2.799579872320858,502.5541629259638,0.0,3.267864902999004e-12,0.0,1.1591799623252912,True,True,True,False,3,False
25,10,6.316737999994075,20,30,0.9301008195312668,32.595099345668615,0.0018911284788719618,2.799579872320858,461.04803269298617,0.0,3.267864902999004e-12,0.0,9.322479068102295,True,True,True,False,3,False
50,1,11.999353899998823,26,30,0.9387433087563704,32.595099345668615,0.0018911284788719618,2.799579872320858,444.7787074988309,0.0,3.267864902999004e-12,0.0,12.522280327905627,True,True,True,False,3,False
50,2,12.119912499998463,24,30,0.9282696613731097,32.595099345668615,0.0018911284788719618,2.799579872320858,437.82494266122296,0.0,3.267864902999004e-12,0.0,13.889925588063528,True,True,True,False,3,False
50,3,12.188954099983675,22,30,0.9415016775687215,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
50,4,11.867140300018946,21,30,0.9318800506506655,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
50,5,9.438302300026407,25,30,0.9256642444776318,32.595099345668615,0.0018911284788719618,2.799579872320858,444.7787074988309,0.0,3.267864902999004e-12,0.0,12.522280327905627,True,True,True,False,3,False
50,6,8.902688800008036,27,30,0.9240098449111473,32.595099345668615,0.0018911284788719618,2.799579872320858,437.82494266122296,0.0,3.267864902999004e-12,0.0,13.889925588063528,True,True,True,False,3,False
50,7,9.547267999994801,30,30,0.9134257851662037,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
50,8,8.874713500001235,23,30,0.9186411788552282,32.595099345668615,0.0018911284788719618,2.799579872320858,444.7787074988309,0.0,3.267864902999004e-12,0.0,12.522280327905627,True,True,True,False,3,False
50,9,9.029398299986497,24,30,0.9256105306308147,32.595099345668615,0.0018911284788719618,2.799579872320858,502.5541629259638,0.0,3.267864902999004e-12,0.0,1.1591799623252912,True,True,True,False,3,False
50,10,9.357848400017247,27,30,0.919123590330487,32.595099345668615,0.0018911284788719618,2.799579872320858,461.04803269298617,0.0,3.267864902999004e-12,0.0,9.322479068102295,True,True,True,False,3,False
100,1,17.888073200010695,30,30,0.9306081193972195,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
100,2,18.403347700019367,28,30,0.9321283353492172,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
100,3,18.012531499989564,31,30,0.9311253535982447,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
100,4,17.688852899998892,27,30,0.9346556479779868,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
100,5,18.15607799999998,30,30,0.9268269565683358,32.595099345668615,0.0018911284788719618,2.799579872320858,444.7787074988309,0.0,3.267864902999004e-12,0.0,12.522280327905627,True,True,True,False,3,False
100,6,18.208841699990444,31,30,0.907678041663843,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
100,7,18.584725000022445,33,30,0.9255979611253446,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
100,8,18.196032300009392,30,30,0.9263456972213777,32.595099345668615,0.0018911284788719618,2.799579872320858,502.5541629259638,0.0,3.267864902999004e-12,0.0,1.1591799623252912,True,True,True,False,3,False
100,9,18.20979389999411,30,30,0.9253348630934838,32.595099345668615,0.0018911284788719618,2.799579872320858,502.5541629259638,0.0,3.267864902999004e-12,0.0,1.1591799623252912,True,True,True,False,3,False
100,10,18.57015010001487,30,30,0.9337578048619564,32.595099345668615,0.0018911284788719618,2.799579872320858,461.04803269298617,0.0,3.267864902999004e-12,0.0,9.322479068102295,True,True,True,False,3,False
150,1,27.32725339999888,30,30,0.926485589761452,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
150,2,27.19866799999727,28,30,0.9286320716695969,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
150,3,27.573501699982444,33,30,0.9186092993851616,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
150,4,27.233921100007137,31,30,0.9224889510234338,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
150,5,27.34070930001326,31,30,0.9350183593175132,32.595099345668615,0.0018911284788719618,2.799579872320858,487.2560359772219,0.0,3.267864902999004e-12,0.0,4.167968913252469,True,True,True,False,3,False
150,6,28.451435900002252,32,30,0.9300702162010479,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
150,7,28.08526459999848,33,30,0.9354520515130101,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
150,8,27.528206199989654,30,30,0.9304521431776689,32.595099345668615,0.0018911284788719618,2.799579872320858,502.5541629259638,0.0,3.267864902999004e-12,0.0,1.1591799623252912,True,True,True,False,3,False
150,9,28.044136600015918,30,30,0.9235846092999467,32.595099345668615,0.0018911284788719618,2.799579872320858,502.5541629259638,0.0,3.267864902999004e-12,0.0,1.1591799623252912,True,True,True,False,3,False
150,10,28.181598600000143,33,30,0.9345250981457878,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
250,1,47.26316289999522,32,30,0.9210274926440026,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
250,2,47.55016579999938,31,30,0.9271133847556078,32.595099345668615,0.0018911284788719618,2.799579872320858,508.4479901465887,0.0,3.267864902999004e-12,0.0,0.0,True,True,True,True,4,True
