Iteraciones,Corridas,TiempoPromedio,TiempoMediano,ParetoPromedio,ParetoMediano,DiversidadPromedio,GapLatenciaPromedio,GapPerdidaPromedio,GapJitterPromedio,GapAnchoBandaPromedio,ExitoLatencia,ExitoPerdida,ExitoJitter,ExitoAnchoBanda,ExitoCompleto,OptimosPromedio
25,10,6.041071350002312,6.0628082000039285,20.6,20.0,0.9279702221597985,0.0,3.267864902999004e-12,0.824288003730597,10.497584762655647,100.0,100.0,90.0,10.0,10.0,3.0
50,10,10.332558010003414,9.492785150010604,24.9,24.5,0.9266869872720379,0.0,3.267864902999004e-12,0.0,7.582835119027154,100.0,100.0,100.0,30.0,30.0,3.3
100,10,18.191842630004977,18.202436999999918,30.0,30.0,0.927405878085701,0.0,3.267864902999004e-12,0.0,2.41631193206585,100.0,100.0,100.0,60.0,60.0,3.6
150,10,27.696469540000543,27.55085394998605,31.1,31.0,0.9285318389494618,0.0,3.267864902999004e-12,0.0,0.6486328837903053,100.0,100.0,100.0,70.0,70.0,3.7
250,10,47.68376318999799,47.74082864999946,33.5,34.0,0.9278158035520148,0.0,3.267864902999004e-12,0.0,0.0,100.0,100.0,100.0,100.0,100.0,4.0
400,10,76.26103638000204,76.3830966000096,35.9,36.0,0.9274762561424623,0.0,3.267864902999004e-12,0.0,0.0,100.0,100.0,100.0,100.0,100.0,4.0
